date,description,amount
2026-04-17,AMC 9640 ONLINELEAWOODKS,-27.99
2026-04-18,SPECTRUM SAINT LOUIS MO,-61.25
2026-04-19,MINT MOBILE 8006837392 CA,-30.00
2026-04-20,CRUNCH FITNESS NORTHRIDGE CA,-16.99
2026-04-21,HULU 8778244858 CA,-17.99
2026-04-22,TARGET T-2020 NORTHRIDGE CA,-23.04
2026-04-23,VONS #2078 NORTHRIDGE CA,-49.99
2026-04-24,EL POLLO LOCO NORTHRIDGE CA,-14.26
2026-04-25,EXXONMOBIL 47865886 EDGEWOOD,-51.86
2026-04-28,CVS/PHARMACY #04792 VAN NUYS CA,-9.43
2026-04-30,PAYROLL DIRECT DEP EMPLOYER,3200.00
2026-05-17,AMC 9640 ONLINELEAWOODKS,-27.99
2026-05-18,SPECTRUM SAINT LOUIS MO,-61.25
2026-05-19,MINT MOBILE 8006837392 CA,-30.00
2026-05-20,CRUNCH FITNESS NORTHRIDGE CA,-16.99
2026-05-21,HULU 8778244858 CA,-17.99
2026-05-22,WHOLEFDS PRR#10695 PORTER RANCH CA,-93.09
2026-05-23,ALDI 79057 NORTHRIDGE CA,-45.23
2026-05-24,SUBWAY 612 VAN NUYS CA,-10.86
2026-05-26,SHEIN.COM KENT DE,-33.24
2026-05-28,WAL-MART #3147 SIMI VALLEY CA,-61.70
2026-05-30,PAYROLL DIRECT DEP EMPLOYER,3200.00
2026-05-31,CAPITAL ONE MOBILE PYMT,743.59
2026-06-17,AMC 9640 ONLINELEAWOODKS,-27.99
2026-06-18,SPECTRUM SAINT LOUIS MO,-61.25
2026-06-19,MINT MOBILE 8006837392 CA,-30.00
2026-06-20,CRUNCH FITNESS NORTHRIDGE CA,-16.99
2026-06-21,HULU 8778244858 CA,-17.99
2026-06-22,FABLETICS #12 TOPANGA WOODLAND HILL CA,-26.34
2026-06-23,THE VITAMIN SHOPPE #139 NORTHRIDGE CA,-153.63
2026-06-24,ROSS STORES #1680 NORTHRIDGE CA,-20.82
2026-06-25,THE HOME DEPOT #6661 VAN NUYS CA,-26.50
2026-06-27,BLAZE PIZZA 1366 NORTHRIDGE CA,-13.72
2026-06-30,PAYROLL DIRECT DEP EMPLOYER,3200.00
