Transaction Date,Post Date,Description,Category,Type,Amount
04/02/2026,04/03/2026,NETFLIX.COM 866-716-0414,Entertainment,Sale,-15.49
04/03/2026,04/04/2026,SPOTIFY USA,Entertainment,Sale,-11.99
04/05/2026,04/06/2026,AMAZON PRIME,Shopping,Sale,-14.99
04/06/2026,04/07/2026,PLANET FITNESS #1234,Health & Wellness,Sale,-10.00
04/07/2026,04/08/2026,WHOLE FOODS MARKET,Groceries,Sale,-87.32
04/09/2026,04/10/2026,SHELL OIL 5741,Gas,Sale,-42.10
04/10/2026,04/11/2026,CHIPOTLE ONLINE,Food & Drink,Sale,-13.45
04/12/2026,04/13/2026,VERIZON WIRELESS,Bills & Utilities,Sale,-89.99
04/14/2026,04/15/2026,GEICO INSURANCE,Bills & Utilities,Sale,-132.50
04/15/2026,04/16/2026,TARGET STORE 1122,Shopping,Sale,-56.78
04/20/2026,04/21/2026,UBER TRIP,Travel,Sale,-18.20
04/28/2026,04/29/2026,AUTOPAY PAYMENT - THANK YOU,Payment,Payment,600.00
05/02/2026,05/03/2026,NETFLIX.COM 866-716-0414,Entertainment,Sale,-15.49
05/03/2026,05/04/2026,SPOTIFY USA,Entertainment,Sale,-11.99
05/05/2026,05/06/2026,AMAZON PRIME,Shopping,Sale,-14.99
05/06/2026,05/07/2026,PLANET FITNESS #1234,Health & Wellness,Sale,-10.00
05/08/2026,05/09/2026,TRADER JOE'S,Groceries,Sale,-64.21
05/10/2026,05/11/2026,CHEVRON 0091,Gas,Sale,-38.75
05/11/2026,05/12/2026,STARBUCKS STORE 4471,Food & Drink,Sale,-6.85
05/12/2026,05/13/2026,VERIZON WIRELESS,Bills & Utilities,Sale,-89.99
05/14/2026,05/15/2026,GEICO INSURANCE,Bills & Utilities,Sale,-132.50
05/17/2026,05/18/2026,BEST BUY 00456,Shopping,Sale,-210.00
05/22/2026,05/23/2026,LYFT RIDE,Travel,Sale,-22.40
05/28/2026,05/29/2026,AUTOPAY PAYMENT - THANK YOU,Payment,Payment,615.30
06/02/2026,06/03/2026,NETFLIX.COM 866-716-0414,Entertainment,Sale,-15.49
06/03/2026,06/04/2026,SPOTIFY USA,Entertainment,Sale,-11.99
06/05/2026,06/06/2026,AMAZON PRIME,Shopping,Sale,-14.99
06/06/2026,06/07/2026,PLANET FITNESS #1234,Health & Wellness,Sale,-10.00
06/09/2026,06/10/2026,KROGER #532,Groceries,Sale,-71.09
06/11/2026,06/12/2026,SHELL OIL 5741,Gas,Sale,-45.60
06/12/2026,06/13/2026,CHIPOTLE ONLINE,Food & Drink,Sale,-15.10
06/12/2026,06/13/2026,VERIZON WIRELESS,Bills & Utilities,Sale,-89.99
06/14/2026,06/15/2026,GEICO INSURANCE,Bills & Utilities,Sale,-132.50
06/18/2026,06/19/2026,AMAZON.COM*RT4Y12ABC,Shopping,Sale,-45.00
06/25/2026,06/26/2026,UBER TRIP,Travel,Sale,-16.75
06/29/2026,06/30/2026,AUTOPAY PAYMENT - THANK YOU,Payment,Payment,590.10
