Fecha;Descripción;Valor
03/01/2026;NETFLIX BOGOTA;-38.900,00
05/01/2026;SPOTIFY COLOMBIA;-16.900,00
07/01/2026;EXITO SUPERMERCADO;-125.400,00
15/01/2026;PAGO NOMINA;3.200.000,00
31/01/2026;COMISION CUOTA DE MANEJO;-15.000,00
03/02/2026;NETFLIX BOGOTA;-38.900,00
05/02/2026;SPOTIFY COLOMBIA;-16.900,00
18/02/2026;D1 TIENDA;-32.150,00
15/02/2026;PAGO NOMINA;3.200.000,00
20/02/2026;COMISION SOBREGIRO;-45.000,00
28/02/2026;COMISION CUOTA DE MANEJO;-15.000,00
03/03/2026;NETFLIX BOGOTA;-38.900,00
05/03/2026;SPOTIFY COLOMBIA;-16.900,00
15/03/2026;PAGO NOMINA;3.200.000,00
31/03/2026;COMISION CUOTA DE MANEJO;-15.000,00
