date,description,amount
2026-01-03,NETFLIX.COM,-15.49
2026-01-05,SPOTIFY USA,-10.99
2026-01-07,WHOLE FOODS MARKET,-64.22
2026-01-15,PAYROLL DEPOSIT,2450.00
2026-01-18,AMAZON PRIME,-14.99
2026-01-31,MONTHLY MAINTENANCE FEE,-12.00
2026-02-03,NETFLIX.COM,-15.49
2026-02-05,SPOTIFY USA,-10.99
2026-02-10,SHELL OIL 4471,-48.30
2026-02-15,PAYROLL DEPOSIT,2450.00
2026-02-18,AMAZON PRIME,-14.99
2026-02-20,OVERDRAFT FEE,-35.00
2026-02-28,MONTHLY MAINTENANCE FEE,-12.00
2026-03-03,NETFLIX.COM,-15.49
2026-03-05,SPOTIFY USA,-10.99
2026-03-12,UBER EATS,-27.65
2026-03-15,PAYROLL DEPOSIT,2450.00
2026-03-18,AMAZON PRIME,-14.99
2026-03-31,MONTHLY MAINTENANCE FEE,-12.00
