Transaction Date,Posted Date,Card No.,Description,Category,Debit,Credit
2026-05-01,2026-05-02,XXXX-XXXX-XXXX-4471,NETFLIX.COM,Subscriptions,15.49,
2026-05-02,2026-05-03,XXXX-XXXX-XXXX-4471,SPOTIFY USA,Subscriptions,11.99,
2026-05-03,2026-05-04,XXXX-XXXX-XXXX-4471,DISNEY PLUS,Subscriptions,13.99,
2026-05-04,2026-05-05,XXXX-XXXX-XXXX-4471,24 HOUR FITNESS,Health & Fitness,42.99,
2026-05-05,2026-05-06,XXXX-XXXX-XXXX-4471,STATE FARM INSURANCE,Insurance,128.50,
2026-05-06,2026-05-07,XXXX-XXXX-XXXX-4471,PACIFIC GAS ELECTRIC,Utilities,87.32,
2026-05-08,2026-05-09,XXXX-XXXX-XXXX-4471,SAFEWAY STORE 0231,Grocery,74.10,
2026-05-10,2026-05-11,XXXX-XXXX-XXXX-4471,76 GAS STATION,Gas/Automotive,41.85,
2026-05-12,2026-05-13,XXXX-XXXX-XXXX-4471,CHIPOTLE ONLINE,Dining,14.20,
2026-05-15,2026-05-16,XXXX-XXXX-XXXX-4471,TARGET STORE 0894,Merchandise,63.44,
2026-05-18,2026-05-19,XXXX-XXXX-XXXX-4471,AMAZON.COM REFUND,Merchandise,,19.99
2026-05-24,2026-05-25,XXXX-XXXX-XXXX-4471,PANERA BREAD,Dining,11.75,
2026-05-29,2026-05-30,XXXX-XXXX-XXXX-4471,CAPITAL ONE PAYMENT - THANK YOU,Payment/Credit,,380.00
2026-06-01,2026-06-02,XXXX-XXXX-XXXX-4471,NETFLIX.COM,Subscriptions,15.49,
2026-06-02,2026-06-03,XXXX-XXXX-XXXX-4471,SPOTIFY USA,Subscriptions,11.99,
2026-06-03,2026-06-04,XXXX-XXXX-XXXX-4471,DISNEY PLUS,Subscriptions,13.99,
2026-06-04,2026-06-05,XXXX-XXXX-XXXX-4471,24 HOUR FITNESS,Health & Fitness,42.99,
2026-06-05,2026-06-06,XXXX-XXXX-XXXX-4471,STATE FARM INSURANCE,Insurance,128.50,
2026-06-06,2026-06-07,XXXX-XXXX-XXXX-4471,PACIFIC GAS ELECTRIC,Utilities,131.20,
2026-06-09,2026-06-10,XXXX-XXXX-XXXX-4471,TRADER JOE'S,Grocery,58.90,
2026-06-11,2026-06-12,XXXX-XXXX-XXXX-4471,76 GAS STATION,Gas/Automotive,44.30,
2026-06-13,2026-06-14,XXXX-XXXX-XXXX-4471,CHIPOTLE ONLINE,Dining,16.05,
2026-06-16,2026-06-17,XXXX-XXXX-XXXX-4471,WALMART SUPERCENTER,Merchandise,92.18,
2026-06-20,2026-06-21,XXXX-XXXX-XXXX-4471,PANERA BREAD,Dining,9.60,
2026-06-27,2026-06-28,XXXX-XXXX-XXXX-4471,CAPITAL ONE PAYMENT - THANK YOU,Payment/Credit,,450.00
